model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,make
 Tucson,2019,"$20,490 ",Semi-Auto,4011,Diesel,145,47.1,1.6,hyundi
 Passat,2016,"$8,000 ",Manual,101370,Diesel,20,70.6,1.6,volkswagen
 Auris,2013,"$7,995 ",Manual,34110,Petrol,145,46.3,1.6,toyota
 Kuga,2017,"$13,991 ",Semi-Auto,18874,Diesel,150,58.9,1.5,ford
 EcoSport,2017,"$8,999 ",Manual,40091,Petrol,145,52.3,1,ford
 Kuga,2013,"$11,000 ",Manual,40615,Diesel,200,47.9,2,ford
 T-Cross,2020,"$22,880 ",Automatic,1000,Petrol,145,45.6,1,volkswagen
 Grandland X,2019,"$21,790 ",Automatic,10980,Diesel,145,53.3,1.5,vauxhall
 Corsa,2017,"$7,695 ",Manual,10041,Petrol,145,54.3,1.4,vauxhall
 Scirocco,2014,"$12,699 ",Semi-Auto,33705,Diesel,145,50.4,2,volkswagen
 Polo,2018,"$13,000 ",Manual,10166,Petrol,150,52.3,1,volkswagen
 I30,2015,"$6,691 ",Manual,51641,Diesel,0,78.4,1.6,hyundi
 I20,2019,"$9,699 ",Manual,6243,Petrol,145,46.3,1.2,hyundi
 Q2,2019,"$21,644 ",Manual,8000,Diesel,145,49.6,1.6,Audi
 3 Series,2015,"$11,990 ",Semi-Auto,47742,Diesel,30,67.3,2,BMW
 Adam,2017,"$8,330 ",Manual,5224,Petrol,145,53.3,1.2,vauxhall
 Polo,2017,"$9,998 ",Manual,10283,Petrol,20,60.1,1,volkswagen
 Insignia,2018,"$14,495 ",Manual,9375,Diesel,145,65.7,1.6,vauxhall
 4 Series,2016,"$15,399 ",Automatic,54055,Diesel,125,60.1,2,BMW
 Polo,2017,"$12,690 ",Semi-Auto,19181,Petrol,150,60.1,1.2,volkswagen
 S-MAX,2016,"$16,698 ",Manual,29582,Diesel,125,56.5,2,ford
 Fiesta,2020,"$14,000 ",Manual,13,Petrol,150,55.4,1,ford
 Yaris,2016,"$10,490 ",Automatic,9989,Petrol,30,58,1.3,toyota
 Corsa,2017,"$8,495 ",Manual,23814,Petrol,150,55.4,1.4,vauxhall
 A Class,2020,"$25,990 ",Semi-Auto,1399,Diesel,145,65.7,1.5,merc
 C Class,2016,"$20,503 ",Automatic,80612,Petrol,200,42.8,2,merc
 Scala,2019,"$16,990 ",Manual,2653,Petrol,145,49.6,1,skoda
 Citigo,2018,"$7,495 ",Manual,10525,Petrol,145,64.2,1,skoda
 Santa Fe,2016,"$15,400 ",Manual,37444,Diesel,205,46.3,2.2,hyundi
 Mokka,2015,"$8,500 ",Manual,35929,Diesel,30,60.1,1.7,vauxhall
 C-HR,2019,"$19,390 ",Manual,3544,Petrol,145,41.5,1.2,toyota
 Golf,2017,"$14,490 ",Manual,16614,Petrol,150,54.3,1.4,volkswagen
 Up,2014,"$4,495 ",Manual,28928,Petrol,20,62.8,1,volkswagen
 C-HR,2018,"$20,995 ",Automatic,8661,Hybrid,135,74.3,1.8,toyota
 C Class,2019,"$37,999 ",Automatic,2486,Petrol,145,44.1,1.5,merc
 Tucson,2016,"$10,695 ",Manual,66216,Diesel,30,61.7,1.7,hyundi
 Grandland X,2018,"$15,250 ",Manual,18578,Petrol,145,55.4,1.2,vauxhall
 Octavia,2015,"$7,750 ",Manual,85957,Diesel,20,70.6,2,skoda
 Aygo,2013,"$3,590 ",Manual,50853,Petrol,0,65.7,1,toyota
 Focus,2017,"$11,000 ",Manual,13652,Petrol,20,61.4,1,ford
 Polo,2019,"$19,291 ",Semi-Auto,4013,Petrol,150,39.8,2,volkswagen
 Touareg,2019,"$47,995 ",Semi-Auto,6987,Diesel,145,34,3,volkswagen
 X2,2019,"$27,000 ",Manual,4825,Diesel,145,49.6,2,BMW
 Focus,2017,"$10,750 ",Manual,21224,Petrol,150,60.1,1,ford
 Tucson,2019,"$21,750 ",Automatic,11057,Diesel,145,47.1,1.6,hyundi
 X5,2014,"$27,581 ",Automatic,35881,Diesel,240,44.8,3,BMW
 Aygo,2017,"$8,200 ",Manual,17571,Petrol,0,68.9,1,toyota
 X3,2019,"$31,000 ",Semi-Auto,18720,Petrol,145,30.4,2,BMW
 1 Series,2017,"$14,127 ",Manual,43655,Diesel,20,68.9,2,BMW
 A1,2016,"$10,965 ",Manual,24971,Petrol,0,67.3,1,Audi
 B-MAX,2017,"$11,495 ",Automatic,3800,Petrol,150,44.1,1.6,ford
 Meriva,2009,"$1,795 ",Manual,90771,Petrol,160,44.1,1.4,vauxhall
 Focus,2018,"$13,000 ",Manual,11589,Diesel,145,74.3,1.5,ford
 2 Series,2019,"$16,998 ",Manual,7201,Petrol,150,42.8,1.5,BMW
 Citigo,2018,"$7,990 ",Manual,5005,Petrol,145,64.2,1,skoda
 T-Roc,2020,"$25,480 ",Semi-Auto,1024,Petrol,145,39.8,1.5,volkswagen
 I20,2019,"$10,590 ",Manual,3417,Petrol,150,46.3,1.2,hyundi
 Yaris,2016,"$11,690 ",Automatic,25601,Other,0,86,1.5,toyota
 Golf,2014,"$8,599 ",Automatic,58914,Diesel,20,72.4,1.6,volkswagen
 Fiesta,2016,"$10,000 ",Manual,5501,Petrol,125,54.3,1.2,ford
 C Class,2017,"$17,998 ",Semi-Auto,16291,Petrol,145,50.4,2,merc
 Focus,2014,"$7,950 ",Manual,23691,Petrol,20,60.1,1,ford
 A6,2017,"$21,670 ",Semi-Auto,20000,Diesel,150,56.5,2,Audi
 4 Series,2019,"$29,631 ",Automatic,123,Diesel,145,65.7,2,BMW
 Touran,2019,"$23,750 ",Semi-Auto,2000,Petrol,145,38.7,1.5,volkswagen
 Passat,2016,"$10,890 ",Manual,62162,Diesel,20,68.9,2,volkswagen
 A6,2014,"$10,100 ",Semi-Auto,64458,Diesel,30,64.2,2,Audi
 Mokka,2016,"$9,930 ",Manual,11500,Petrol,200,40.9,1.6,vauxhall
 C-HR,2017,"$17,895 ",Automatic,29972,Hybrid,0,74.3,1.8,toyota
 Fiesta,2019,"$13,898 ",Manual,14698,Petrol,145,58.9,1,ford
 Ka+,2018,"$8,220 ",Manual,13709,Petrol,145,54.3,1.2,ford
 I10,2015,"$5,998 ",Manual,8116,Petrol,20,60.1,1,hyundi
 GLE Class,2016,"$29,995 ",Automatic,27700,Diesel,200,47.9,2.1,merc
 Q3,2016,"$16,150 ",Manual,14997,Petrol,125,50.4,1.4,Audi
 A6,2019,"$33,999 ",Semi-Auto,15885,Diesel,145,50.4,3,Audi
 A5,2019,"$27,400 ",Automatic,3904,Petrol,145,40.4,2,Audi
 Aygo,2020,"$10,995 ",Automatic,500,Other,145,56.5,1,toyota
 B Class,2019,"$22,499 ",Semi-Auto,1352,Petrol,145,45.6,1.3,merc
 Arteon,2017,"$20,750 ",Semi-Auto,13764,Petrol,145,47.1,2,volkswagen
 Golf,2016,"$11,252 ",Manual,34504,Diesel,0,74.3,1.6,volkswagen
 S-MAX,2017,"$16,200 ",Semi-Auto,54371,Diesel,125,52.3,2,ford
 C-HR,2017,"$15,991 ",Manual,9103,Petrol,145,47.1,1.2,toyota
 C Class,2019,"$28,799 ",Semi-Auto,2000,Diesel,145,61.4,2,merc
 Tucson,2019,"$23,750 ",Manual,25,Petrol,145,34.9,1.6,hyundi
 Tiguan,2017,"$19,745 ",Semi-Auto,34949,Diesel,125,57.6,2,volkswagen
 Corsa,2017,"$9,899 ",Automatic,15551,Petrol,145,47.1,1.4,vauxhall
 Up,2018,"$7,996 ",Manual,32423,Petrol,150,64.2,1,volkswagen
 Fiesta,2013,"$7,000 ",Manual,59650,Petrol,0,65.7,1,ford
 Kuga,2015,"$11,999 ",Manual,52645,Diesel,145,54.3,2,ford
 Viva,2017,"$6,300 ",Manual,15976,Petrol,145,62.8,1,vauxhall
 Meriva,2016,"$6,800 ",Manual,34035,Petrol,145,47.1,1.4,vauxhall
 A1,2016,"$10,510 ",Semi-Auto,59302,Petrol,30,57.6,1.4,Audi
 Prius,2017,"$20,500 ",Automatic,37500,Hybrid,140,85.6,1.8,toyota
 Fiesta,2017,"$11,500 ",Automatic,6273,Petrol,0,57.7,1,ford
 GLC Class,2019,"$32,199 ",Semi-Auto,9418,Diesel,145,41.5,2.1,merc
 1 Series,2017,"$21,498 ",Manual,16273,Petrol,145,36.2,3,BMW
 Tiguan,2018,"$20,990 ",Semi-Auto,14080,Diesel,150,49.6,2,volkswagen
 Yaris,2015,"$7,920 ",Manual,30421,Petrol,30,55,1.3,toyota
 GLC Class,2018,"$27,890 ",Automatic,10007,Diesel,145,56.5,2.1,merc
 Astra,2017,"$10,334 ",Manual,17245,Diesel,145,72.4,1.6,vauxhall
 C Class,2016,"$19,799 ",Automatic,17000,Diesel,30,64.2,2.1,merc
 Fiesta,2016,"$8,687 ",Manual,11387,Petrol,0,65.7,1,ford
 Focus,2019,"$17,200 ",Manual,5989,Petrol,145,60.1,1,ford
 1 Series,2019,"$25,000 ",Semi-Auto,1705,Diesel,145,51.4,2,BMW
 Golf,2020,"$23,995 ",Semi-Auto,1000,Petrol,145,43.5,1.5,volkswagen
 Fiesta,2016,"$9,490 ",Automatic,14000,Petrol,145,47.9,1.6,ford
 Combo Life,2019,"$13,995 ",Manual,14500,Petrol,145,42.2,1.2,vauxhall
 Fabia,2019,"$10,490 ",Manual,10493,Petrol,150,60.1,1,skoda
 Golf,2015,"$8,499 ",Manual,65040,Diesel,20,68.9,2,volkswagen
 Focus,2017,"$10,400 ",Manual,13275,Petrol,145,60.1,1,ford
 Insignia,2016,"$9,200 ",Manual,22014,Petrol,125,53.3,1.4,vauxhall
 KA,2015,"$4,998 ",Manual,28322,Petrol,30,57.7,1.2,ford
 Fiesta,2018,"$9,461 ",Manual,26016,Petrol,150,64.2,1.1,ford
 SL CLASS,2019,"$30,670 ",Automatic,3000,Petrol,145,47.1,2,merc
 Mokka X,2017,"$11,299 ",Manual,10031,Petrol,200,42.2,1.6,vauxhall
 B-MAX,2013,"$6,992 ",Automatic,32482,Petrol,160,44.1,1.6,ford
 C Class,2019,"$22,156 ",Automatic,15179,Petrol,145,44.1,1.5,merc
 A3,2017,"$20,999 ",Manual,14980,Diesel,30,64.2,2,Audi
 Up,2014,"$5,650 ",Manual,42210,Petrol,20,62.8,1,volkswagen
 GLE Class,2016,"$29,362 ",Semi-Auto,44248,Diesel,235,42.8,3,merc
 A1,2015,"$10,899 ",Manual,21131,Diesel,0,80.7,1.6,Audi
 Polo,2019,"$14,226 ",Manual,7846,Petrol,150,52.3,1,volkswagen
 Amarok,2019,"$27,990 ",Automatic,19841,Diesel,265,33.6,3,volkswagen
 Focus,2019,"$15,500 ",Manual,10000,Petrol,145,60.1,1,ford
 Polo,2017,"$10,995 ",Manual,21944,Petrol,20,60.1,1.2,volkswagen
 Fiesta,2017,"$7,995 ",Manual,20829,Petrol,150,54.3,1.2,ford
 Up,2014,"$5,830 ",Manual,43258,Petrol,20,60.1,1,volkswagen
 Mokka X,2019,"$15,399 ",Semi-Auto,11341,Diesel,150,47.1,1.6,vauxhall
 3 Series,2014,"$8,600 ",Automatic,78871,Diesel,30,62.8,2,BMW
 A4,2017,"$18,300 ",Automatic,43528,Diesel,30,65.7,2,Audi
 Aygo,2019,"$9,650 ",Manual,2417,Petrol,145,57.7,1,toyota
 Fiesta,2019,"$15,299 ",Manual,8308,Petrol,145,58.9,1,ford
 GLC Class,2018,"$29,190 ",Automatic,12523,Diesel,145,56.5,2.1,merc
 I20,2017,"$7,899 ",Manual,31225,Petrol,145,58.9,1.2,hyundi
 Golf,2019,"$21,490 ",Manual,6017,Petrol,150,45.6,1.5,volkswagen
 Yaris,2015,"$7,568 ",Manual,46982,Petrol,30,58,1.3,toyota
 Aygo,2018,"$8,000 ",Manual,9908,Petrol,145,68.9,1,toyota
 Touareg,2019,"$41,462 ",Automatic,10006,Diesel,145,34,3,volkswagen
 GLC Class,2018,"$28,860 ",Semi-Auto,7158,Petrol,145,43.5,2,merc
 Golf,2016,"$15,298 ",Semi-Auto,18099,Petrol,20,60.1,1.4,volkswagen
 A Class,2018,"$21,780 ",Semi-Auto,11034,Diesel,145,67.3,1.5,merc
 Fabia,2016,"$8,995 ",Manual,14500,Petrol,20,60.1,1.2,skoda
 Golf,2016,"$14,995 ",Manual,52588,Diesel,20,67.3,2,volkswagen
 Touareg,2015,"$17,995 ",Semi-Auto,57388,Diesel,235,42.8,3,volkswagen
 3 Series,2016,"$14,000 ",Automatic,91707,Diesel,150,53.3,3,BMW
 Tiguan Allspace,2019,"$33,290 ",Semi-Auto,3500,Diesel,145,38.7,2,volkswagen
 3 Series,2015,"$12,498 ",Manual,32082,Petrol,125,52.3,1.5,BMW
 Golf,2019,"$15,295 ",Manual,8918,Diesel,145,57.7,1.6,volkswagen
 A1,2019,"$24,495 ",Semi-Auto,4634,Petrol,145,40.9,2,Audi
 Focus,2017,"$9,998 ",Manual,13861,Petrol,145,60.1,1,ford
 1 Series,2019,"$25,980 ",Semi-Auto,100,Diesel,145,51.4,2,BMW
 X2,2019,"$40,428 ",Semi-Auto,100,Petrol,145,34,2,BMW
 Polo,2016,"$7,870 ",Manual,24441,Petrol,20,60.1,1,volkswagen
 Golf,2017,"$20,980 ",Automatic,7563,Petrol,160,44.1,2,volkswagen
 T-Cross,2019,"$19,034 ",Manual,2826,Petrol,145,47.9,1,volkswagen
 Golf,2020,"$18,495 ",Manual,99,Diesel,145,57.7,1.6,volkswagen
 E Class,2013,"$11,795 ",Automatic,53300,Diesel,125,58.9,2.1,merc
 Superb,2016,"$7,000 ",Manual,109060,Diesel,20,68.9,1.6,skoda
 Superb,2017,"$20,110 ",Semi-Auto,23890,Petrol,145,43.5,2,skoda
 Mondeo,2017,"$15,995 ",Automatic,11905,Petrol,160,44.8,1.5,ford
 Fabia,2017,"$10,490 ",Semi-Auto,7001,Diesel,20,70.6,1.4,skoda
 Grandland X,2019,"$17,999 ",Automatic,18000,Petrol,145,43.5,1.2,vauxhall
 A1,2016,"$12,300 ",Manual,37874,Petrol,30,58.9,1.4,Audi
 Fabia,2010,"$3,695 ",Manual,74000,Diesel,20,67.3,1.6,skoda
 Fabia,2018,"$9,295 ",Manual,27754,Petrol,145,64.2,1,skoda
 RS5,2017,"$41,970 ",Semi-Auto,18630,Petrol,145,32.5,2.9,Audi
 Corsa,2017,"$9,995 ",Manual,8890,Petrol,145,49.6,1.4,vauxhall
 Passat,2019,"$22,498 ",Semi-Auto,10,Diesel,145,47.1,1.6,volkswagen
 Tiguan,2018,"$25,741 ",Semi-Auto,12368,Diesel,145,57.6,2,volkswagen
 Golf,2016,"$12,498 ",Semi-Auto,25676,Diesel,20,58.9,1.6,volkswagen
 4 Series,2019,"$21,998 ",Semi-Auto,11032,Diesel,145,65.7,2,BMW
 Astra,2016,"$7,500 ",Manual,30000,Petrol,125,52.3,1.4,vauxhall
 Fiesta,2018,"$10,191 ",Manual,12349,Petrol,145,65.7,1,ford
 E Class,2019,"$24,749 ",Semi-Auto,14352,Diesel,145,72.4,2,merc
 Golf,2020,"$20,995 ",Manual,899,Petrol,145,47.1,1.5,volkswagen
 Astra,2017,"$11,298 ",Manual,20162,Diesel,145,76.3,1.6,vauxhall
 C Class,2018,"$26,281 ",Semi-Auto,10997,Diesel,145,67.3,2.1,merc
 Mokka X,2019,"$17,295 ",Manual,2600,Petrol,145,39.2,1.4,vauxhall
 Corsa,2017,"$10,800 ",Automatic,5297,Petrol,145,47.9,1.4,vauxhall
 A1,2016,"$10,800 ",Manual,46000,Petrol,0,67.3,1,Audi
 C Class,2015,"$10,799 ",Manual,76157,Petrol,125,51.4,2,merc
 GLE Class,2018,"$37,300 ",Automatic,5597,Diesel,145,39.2,3,merc
 Focus,2019,"$14,995 ",Automatic,11000,Petrol,145,50.4,1,ford
 C Class,2019,"$31,950 ",Automatic,2947,Diesel,145,54.3,1.6,merc
 5 Series,2019,"$27,980 ",Semi-Auto,5502,Diesel,150,62.8,2,BMW
 Q8,2020,"$73,495 ",Semi-Auto,1500,Diesel,150,32.8,3,Audi
 Golf,2019,"$28,989 ",Automatic,100,Petrol,150,32.8,2,volkswagen
 EcoSport,2016,"$8,998 ",Manual,34769,Petrol,125,53.3,1,ford
 Astra,2014,"$5,500 ",Manual,45315,Petrol,125,51.4,1.4,vauxhall
 GTC,2015,"$7,280 ",Manual,33217,Diesel,125,60.1,2,vauxhall
 C Class,2019,"$24,433 ",Automatic,2326,Petrol,145,46.3,1.5,merc
 Kona,2018,"$18,999 ",Semi-Auto,18080,Petrol,150,42.2,1.6,hyundi
 I30,2020,"$15,985 ",Manual,100,Petrol,145,45.6,1,hyundi
 Q2,2019,"$18,380 ",Manual,12140,Diesel,145,47.9,1.6,Audi
 E Class,2016,"$20,380 ",Semi-Auto,27836,Diesel,20,67.3,2,merc
 3 Series,2017,"$18,300 ",Automatic,39594,Diesel,160,51.4,3,BMW
 X3,2019,"$31,990 ",Semi-Auto,7115,Diesel,145,54.3,2,BMW
 Viva,2019,"$6,999 ",Manual,2483,Petrol,145,46.3,1,vauxhall
 Fiesta,2015,"$6,600 ",Manual,38783,Petrol,0,65.7,1,ford
 2 Series,2019,"$21,995 ",Semi-Auto,3682,Petrol,145,47.9,2,BMW
 Fiesta,2017,"$9,250 ",Manual,32320,Petrol,0,65.7,1,ford
 B-MAX,2016,"$6,681 ",Semi-Auto,54550,Petrol,165,44.1,1.6,ford
 Focus,2016,"$9,499 ",Manual,55790,Diesel,0,74.3,1.5,ford
 3 Series,2017,"$18,858 ",Semi-Auto,29190,Diesel,145,62.8,2,BMW
 Golf,2019,"$19,989 ",Automatic,8063,Other,150,52.3,2,volkswagen
 EcoSport,2017,"$8,995 ",Manual,25152,Petrol,150,52.3,1,ford
 X1,2017,"$18,995 ",Semi-Auto,26249,Petrol,160,44.8,2,BMW
 Mokka X,2018,"$12,140 ",Automatic,34545,Petrol,145,43.5,1.4,vauxhall
 I10,2017,"$6,602 ",Manual,32107,Petrol,145,57.7,1.2,hyundi
 A7,2018,"$38,500 ",Semi-Auto,19112,Petrol,150,39.8,3,Audi
 Mokka X,2019,"$13,990 ",Manual,452,Petrol,145,39.2,1.4,vauxhall
 1 Series,2018,"$14,800 ",Manual,22961,Petrol,145,37.2,1.5,BMW
 E Class,2016,"$18,116 ",Automatic,27784,Diesel,125,58.9,2.1,merc
 Aygo,2016,"$6,995 ",Manual,23499,Petrol,0,69,1,toyota
 KA,2015,"$5,791 ",Manual,17398,Petrol,30,57.7,1.2,ford
 C Class,2017,"$24,660 ",Semi-Auto,9873,Diesel,20,67.3,2.1,merc
 A Class,2019,"$31,399 ",Semi-Auto,2351,Petrol,145,35.3,2,merc
 A Class,2017,"$26,950 ",Semi-Auto,21940,Petrol,150,40.9,2,merc
 Tucson,2017,"$12,998 ",Manual,40262,Diesel,145,61.7,1.7,hyundi
 X2,2019,"$30,960 ",Automatic,7021,Petrol,145,34,2,BMW
 Fiesta,2018,"$11,000 ",Manual,9309,Petrol,150,65.7,1,ford
 Ioniq,2019,"$17,999 ",Automatic,3000,Hybrid,135,78.5,1.6,hyundi
 C Class,2017,"$20,990 ",Semi-Auto,19733,Petrol,150,48.7,2,merc
 Corsa,2016,"$10,295 ",Automatic,22650,Petrol,145,47.9,1.4,vauxhall
 Insignia,2015,"$5,499 ",Manual,86219,Diesel,0,72.4,2,vauxhall
 Vectra,2008,"$1,695 ",Automatic,131000,Diesel,200,39.8,1.9,vauxhall
 C Class,2018,"$19,980 ",Semi-Auto,3891,Petrol,145,44.1,1.5,merc
 Aygo,2017,"$6,495 ",Manual,27372,Petrol,0,69,1,toyota
 Aygo,2017,"$7,700 ",Manual,37313,Petrol,0,68.9,1,toyota
 4 Series,2018,"$19,991 ",Semi-Auto,8018,Petrol,145,44.1,2,BMW
 C-HR,2018,"$16,690 ",Manual,16429,Petrol,145,6,1.2,toyota
 EcoSport,2018,"$14,199 ",Manual,9293,Petrol,145,54.3,1,ford
 Passat,2015,"$13,800 ",Semi-Auto,17223,Diesel,30,62.8,2,volkswagen
 C-MAX,2017,"$10,689 ",Automatic,9797,Diesel,145,64.2,1.5,ford
 Scirocco,2017,"$17,390 ",Automatic,15211,Diesel,145,57.6,2,volkswagen
 Kamiq,2019,"$17,950 ",Automatic,500,Petrol,145,44.1,1.5,skoda
 Fiesta,2017,"$7,763 ",Manual,29435,Petrol,145,54.3,1.2,ford
 B Class,2017,"$15,298 ",Semi-Auto,18656,Diesel,20,68.9,1.5,merc
 C-HR,2017,"$13,995 ",Manual,38500,Petrol,145,47.9,1.2,toyota
 Polo,2019,"$14,690 ",Semi-Auto,5941,Petrol,145,45.6,1,volkswagen
 E Class,2019,"$49,500 ",Automatic,4250,Petrol,145,31.7,3,merc
 C Class,2016,"$25,499 ",Semi-Auto,9458,Petrol,160,43.5,2,merc
 Aygo,2012,"$3,985 ",Manual,78848,Petrol,0,65.7,1,toyota
 Corsa,2016,"$6,490 ",Manual,37872,Petrol,30,54.3,1.4,vauxhall
 Q5,2019,"$35,500 ",Semi-Auto,9280,Diesel,150,38.2,2,Audi
 A Class,2020,"$24,980 ",Manual,16,Petrol,145,45.6,1.3,merc
 Kuga,2014,"$9,298 ",Manual,45543,Diesel,145,53.3,2,ford
 Auris,2018,"$17,795 ",Automatic,25181,Hybrid,135,65.6,1.8,toyota
 Fiesta,2014,"$6,000 ",Manual,52533,Petrol,30,54.3,1.2,ford
 Golf,2019,"$14,990 ",Manual,15365,Diesel,145,57.7,1.6,volkswagen
 GLE Class,2018,"$41,000 ",Automatic,21889,Diesel,150,36.7,3,merc
 Aygo,2017,"$6,998 ",Manual,31571,Petrol,145,68.9,1,toyota
 I40,2016,"$8,599 ",Manual,67654,Diesel,30,65.7,1.7,hyundi
 Auris,2014,"$11,495 ",Automatic,33401,Hybrid,0,72.4,1.8,toyota
 Crossland X,2019,"$15,698 ",Semi-Auto,501,Petrol,145,42.2,1.2,vauxhall
 Focus,2019,"$17,999 ",Automatic,4147,Diesel,145,64.2,2,ford
 Kuga,2019,"$18,499 ",Manual,9502,Diesel,145,38.2,2,ford
 Focus,2017,"$17,495 ",Manual,15437,Petrol,200,41.5,2,ford
 Corsa,2017,"$7,225 ",Manual,21673,Petrol,145,55.4,1.4,vauxhall
 C Class,2017,"$17,750 ",Automatic,15500,Diesel,20,65.7,2.1,merc
 Kamiq,2020,"$19,790 ",Automatic,5000,Petrol,145,44.1,1.5,skoda
 Fiesta,2018,"$10,600 ",Manual,23050,Petrol,145,56.5,1,ford
 i3,2017,"$19,948 ",Automatic,20929,Hybrid,135,470.8,0,BMW
 RAV4,2019,"$35,955 ",Automatic,2984,Hybrid,135,49.6,2.5,toyota
 Auris,2018,"$11,699 ",Manual,16951,Petrol,150,58.9,1.2,toyota
 Fabia,2019,"$11,950 ",Manual,5500,Petrol,145,60.1,1,skoda
 3 Series,2017,"$15,290 ",Semi-Auto,61610,Petrol,145,48.7,2,BMW
 A3,2009,"$4,495 ",Manual,92000,Petrol,200,40.9,1.6,Audi
 Fabia,2018,"$7,995 ",Manual,16027,Petrol,145,57.7,1,skoda
 Corsa,2016,"$6,000 ",Manual,33000,Petrol,30,55.4,1.4,vauxhall
 A Class,2018,"$30,949 ",Semi-Auto,11910,Petrol,145,40.9,2,merc
 Yaris,2015,"$6,641 ",Manual,40070,Petrol,30,58,1.3,toyota
 Corsa,2017,"$7,500 ",Manual,27775,Petrol,30,55.4,1.4,vauxhall
 C Class,2016,"$18,799 ",Semi-Auto,6900,Petrol,125,52.3,2,merc
 Verso,2015,"$13,749 ",Automatic,24321,Petrol,160,43.5,1.8,toyota
 Adam,2017,"$8,499 ",Manual,9647,Petrol,125,53.3,1.2,vauxhall
 Touareg,2015,"$18,191 ",Semi-Auto,65987,Diesel,235,42.8,3,volkswagen
 Golf,2017,"$12,441 ",Manual,24477,Diesel,0,74.3,1.6,volkswagen
 Fiesta,2019,"$13,100 ",Manual,12634,Petrol,145,58.9,1,ford
 Fabia,2017,"$8,298 ",Manual,46334,Diesel,150,78.5,1.4,skoda
 Aygo,2018,"$8,450 ",Manual,16200,Petrol,145,68.9,1,toyota
 1 Series,2016,"$11,941 ",Manual,29378,Petrol,30,56.5,1.5,BMW
 Santa Fe,2019,"$31,680 ",Semi-Auto,2251,Diesel,145,40.9,2.2,hyundi
 A5,2019,"$33,990 ",Semi-Auto,7000,Petrol,145,39.2,2,Audi
 Golf,2013,"$5,895 ",Manual,93000,Diesel,0,74.3,1.6,volkswagen
 Shuttle,2018,"$19,998 ",Manual,22628,Diesel,145,47.1,2,volkswagen
 Fiesta,2017,"$6,995 ",Manual,21000,Petrol,125,54.3,1.2,ford
 CL Class,2019,"$22,000 ",Semi-Auto,20358,Diesel,145,51.4,2.2,merc
 Kona,2019,"$13,990 ",Manual,9130,Petrol,145,44.1,1,hyundi
 Astra,2017,"$8,999 ",Manual,25889,Petrol,20,64.2,1,vauxhall
 Astra,2018,"$9,599 ",Manual,29000,Petrol,145,62.8,1,vauxhall
 Yeti Outdoor,2017,"$12,910 ",Semi-Auto,33119,Petrol,150,51.4,1.2,skoda
 EcoSport,2019,"$14,500 ",Manual,15500,Petrol,145,53.3,1,ford
 3 Series,2015,"$13,991 ",Manual,37373,Diesel,30,64.2,2,BMW
 Fiesta,2017,"$8,991 ",Manual,23225,Diesel,145,88.3,1.5,ford
 E Class,2018,"$31,480 ",Semi-Auto,5317,Diesel,145,57.7,2,merc
 1 Series,2017,"$14,490 ",Manual,22137,Diesel,145,70.6,1.5,BMW
 Fiesta,2019,"$13,140 ",Manual,2359,Petrol,145,48.7,1.1,ford
 Adam,2016,"$7,999 ",Manual,21000,Petrol,125,53.3,1.4,vauxhall
 A1,2020,"$25,790 ",Automatic,3222,Petrol,145,44.1,1.5,Audi
 Up,2019,"$9,690 ",Manual,3000,Petrol,145,54.3,1,volkswagen
 Polo,2017,"$10,300 ",Manual,15363,Petrol,145,60.1,1.2,volkswagen
 Verso,2017,"$12,995 ",Manual,23850,Diesel,145,62.8,1.6,toyota
 Mondeo,2018,"$14,979 ",Manual,25199,Petrol,145,48.7,1.5,ford
 C Class,2016,"$14,965 ",Semi-Auto,30487,Diesel,20,65.7,2.1,merc
 A3,2010,"$4,490 ",Manual,107304,Diesel,125,57.6,2,Audi
 4 Series,2016,"$17,600 ",Automatic,20444,Diesel,30,65.7,2,BMW
 Polo,2017,"$8,995 ",Manual,34690,Petrol,20,60.1,1,volkswagen
 Polo,2019,"$19,995 ",Automatic,4000,Other,145,39.8,2,volkswagen
 Aygo,2016,"$6,480 ",Manual,19252,Petrol,0,69,1,toyota
 Meriva,2016,"$6,099 ",Manual,38885,Petrol,145,47.1,1.4,vauxhall
 Corsa,2019,"$9,890 ",Manual,8500,Petrol,145,43.5,1.4,vauxhall
 Mokka X,2019,"$14,000 ",Manual,9478,Petrol,145,39.2,1.4,vauxhall
 Focus,2016,"$10,417 ",Automatic,11990,Petrol,125,51.4,1,ford
 C-MAX,2017,"$11,000 ",Manual,6466,Diesel,145,68.9,1.5,ford
 GLE Class,2018,"$34,990 ",Automatic,17000,Diesel,145,37.7,3,merc
 A3,2018,"$16,950 ",Manual,28950,Petrol,145,60.1,1,Audi
 A7,2020,"$45,000 ",Automatic,1200,Diesel,150,38.2,3,Audi
 Yaris,2019,"$13,800 ",Automatic,1000,Petrol,145,47.9,1.5,toyota
 Octavia,2019,"$14,799 ",Semi-Auto,13501,Petrol,150,57.7,1,skoda
 E Class,2019,"$62,500 ",Automatic,3200,Petrol,145,30.1,4,merc
 Superb,2019,"$18,980 ",Automatic,5700,Petrol,145,36.7,1.5,skoda
 Kamiq,2019,"$15,795 ",Manual,4500,Diesel,145,56.5,1.6,skoda
 A3,2017,"$14,699 ",Manual,31744,Petrol,125,50.4,2,Audi
